turbine_id,model,horizon,n,mae,rmse
1,catboost,1h,30,0.1879455659509755,0.2131410270111761
1,catboost,1-6h,180,0.22566003575113033,0.259140359035287
1,catboost,7-12h,180,0.3175106861910756,0.3488373968063947
1,catboost,13-24h,360,0.32604025939041315,0.36413904301580585
1,catboost,25-48h,720,0.32501939412122904,0.36105056114470513
1,catboost,1-48h,1440,0.3119161021509936,0.3491893775589685
1,catboost_direct,1h,30,0.10154010286806285,0.15397070297877236
1,catboost_direct,1-6h,180,0.18369593047110983,0.24151352328833348
1,catboost_direct,7-12h,180,0.2994449715246471,0.33665532818095184
1,catboost_direct,13-24h,360,0.3232261363421479,0.3623751936847522
1,catboost_direct,25-48h,720,0.3204608287775618,0.35740210309133746
1,catboost_direct,1-48h,1440,0.3014295612237875,0.3437372192344641
1,context_mean,1h,30,0.30538326719576714,0.36128280684517095
1,context_mean,1-6h,180,0.2954429012345679,0.34336006469351427
1,context_mean,7-12h,180,0.2911531084656085,0.33817777838082536
1,context_mean,13-24h,360,0.2994192019400353,0.3605153531467469
1,context_mean,25-48h,720,0.2939435901675485,0.3468863390592411
1,context_mean,1-48h,1440,0.29515109678130513,0.3488415672675891
1,persistence,1h,30,0.10033333333333333,0.1623667544879892
1,persistence,1-6h,180,0.1701574074074074,0.2789244388586138
1,persistence,7-12h,180,0.2941944444444444,0.42641809527189234
1,persistence,13-24h,360,0.3847916666666666,0.5135063966928206
1,persistence,25-48h,720,0.3605115740740741,0.4719873885046161
1,persistence,1-48h,1440,0.33449768518518513,0.45799798758924964
1,sarimax,1h,30,0.10681604311132799,0.1538144597056517
1,sarimax,1-6h,180,0.18182286783003798,0.2411963023338656
1,sarimax,7-12h,180,0.3031454473304897,0.34783701911009074
1,sarimax,13-24h,360,0.3274654502340615,0.36665735134077787
1,sarimax,25-48h,720,0.3244548662254948,0.3573468239270089
1,sarimax,1-48h,1440,0.3047148350663287,0.34619872995691997
2,catboost,1h,30,0.19608012987881604,0.22361415843825241
2,catboost,1-6h,180,0.22864489405657656,0.26517407892932765
2,catboost,7-12h,180,0.31230871013874306,0.34471618243258145
2,catboost,13-24h,360,0.3322915542416929,0.3722243651712753
2,catboost,25-48h,720,0.3237870160440573,0.361424990616667
2,catboost,1-48h,1440,0.3125855971068668,0.3515609104391192
2,catboost_direct,1h,30,0.09725831532265408,0.15527483457524693
2,catboost_direct,1-6h,180,0.18865264064710482,0.25001928305240645
2,catboost_direct,7-12h,180,0.29438308949889697,0.3321355935249234
2,catboost_direct,13-24h,360,0.32155298521902426,0.360698222581534
2,catboost_direct,25-48h,720,0.31318490465720566,0.34988345829789597
2,catboost_direct,1-48h,1440,0.2973601649016091,0.33961445925731915
2,context_mean,1h,30,0.30243882275132267,0.3565832093249152
2,context_mean,1-6h,180,0.29217669753086417,0.33765163663302034
2,context_mean,7-12h,180,0.2836294091710758,0.32887345412208235
2,context_mean,13-24h,360,0.30156222442680775,0.3632120754091401
2,context_mean,25-48h,720,0.29327755731922395,0.3461739891436255
2,context_mean,1-48h,1440,0.29400509810405645,0.34737553940793314
2,persistence,1h,30,0.10238888888888888,0.16525597428546127
2,persistence,1-6h,180,0.17275925925925928,0.28380298765599554
2,persistence,7-12h,180,0.2795462962962963,0.4147539989314505
2,persistence,13-24h,360,0.38980092592592597,0.517399144761566
2,persistence,25-48h,720,0.35536342592592585,0.46666403355738634
2,persistence,1-48h,1440,0.3316701388888889,0.45539406648202724
2,sarimax,1h,30,0.10667683923224731,0.15615621756521542
2,sarimax,1-6h,180,0.18085089357295486,0.24253562962032052
2,sarimax,7-12h,180,0.2951589328431658,0.33793712777979146
2,sarimax,13-24h,360,0.32982638231734174,0.36764834126507456
2,sarimax,25-48h,720,0.3204331303469267,0.35325717809239016
2,sarimax,1-48h,1440,0.30217438905481386,0.3432415649241246
